Tu znajduje sie opis mojich pomiarow
Value A, Value B, Value C, Constant value22.47, 861.7, 9968.892, 9283.233
17.39, 836.76, 205.063, 9283.233
93.04, 43.56, 4066.641, 9283.233
60.68, 795.55, 1193.655, 9283.233
42.85, 136.52, 642.535, 9283.233
81.76, 9.31, 2566.757, 9283.233
43.67, 159.47, 5071.363, 9283.233
0.46, 425.41, 2960.616, 9283.233
76.72, 811.41, 8271.226, 9283.233
74.83, 332.57, 4369.751, 9283.233
37.41, 988.18, 3562.624, 9283.233
65.3, 952.54, 3447.417, 9283.233
31.42, 161.81, 9600.461, 9283.233
60.8, 168.43, 2638.179, 9283.233
20.82, 589.86, 6523.216, 9283.233
