Tu znajduje sie opis mojich pomiarow
Value A, Value B, Value C, Constant value82.42, 227.63, 1768.686, 9283.233
47.38, 690.11, 7890.751, 9283.233
16.23, 778.27, 4212.205, 9283.233
26.64, 567.55, 8198.612, 9283.233
71.75, 825.84, 5363.605, 9283.233
79.47, 762.18, 352.24, 9283.233
37.78, 9.97, 2377.673, 9283.233
93.71, 147.49, 442.664, 9283.233
56.38, 246.76, 264.704, 9283.233
1.93, 214.22, 3699.8, 9283.233
19.55, 874.28, 8509.668, 9283.233
29.01, 704.6, 6316.56, 9283.233
96.58, 606.14, 5580.775, 9283.233
82.06, 477.02, 1190.334, 9283.233
76.93, 362.13, 5516.444, 9283.233
89.67, 80.58, 6333.164, 9283.233
90.89, 992.28, 796.777, 9283.233
25.95, 445.17, 7419.832, 9283.233
2.26, 139.83, 9258.016, 9283.233
63.11, 150.21, 8399.733, 9283.233
93.94, 343.96, 905.946, 9283.233
40.45, 2.1, 8297.672, 9283.233
0.22, 967.71, 1562.314, 9283.233
55.0, 7.46, 1694.609, 9283.233
7.5, 30.04, 9335.252, 9283.233
5.23, 701.12, 5708.998, 9283.233
23.13, 693.96, 4931.107, 9283.233
24.36, 898.44, 1550.878, 9283.233
78.0, 406.66, 1942.968, 9283.233
3.37, 907.94, 4269.492, 9283.233
89.8, 0.63, 100.546, 9283.233
31.49, 63.58, 8278.606, 9283.233
64.34, 370.09, 6651.773, 9283.233
38.44, 396.45, 1271.13, 9283.233
70.28, 624.13, 8463.81, 9283.233
58.12, 346.42, 2561.237, 9283.233
3.93, 773.39, 4169.57, 9283.233
83.25, 949.32, 5643.842, 9283.233
21.03, 721.94, 8947.07, 9283.233
0.0, 311.55, 4616.049, 9283.233
17.99, 974.12, 9585.899, 9283.233
44.93, 311.29, 4584.433, 9283.233
11.99, 715.81, 3556.526, 9283.233
96.38, 911.13, 4326.929, 9283.233
71.19, 464.13, 2136.713, 9283.233
41.85, 712.66, 1014.042, 9283.233
70.42, 603.63, 7407.191, 9283.233
64.23, 480.18, 8501.475, 9283.233
87.29, 736.24, 8719.233, 9283.233
15.63, 629.66, 4310.081, 9283.233
32.31, 69.71, 4430.462, 9283.233
88.21, 410.13, 4054.48, 9283.233
14.06, 24.58, 4484.709, 9283.233
2.87, 834.08, 5489.926, 9283.233
96.68, 230.26, 5538.596, 9283.233
37.92, 333.49, 695.087, 9283.233
24.96, 665.82, 1182.093, 9283.233
0.08, 967.1, 8970.788, 9283.233
